id_curriculo	categoria	aceitando_email	saiu_do_ifg
1678	docente	True	False
57	tecnico_administrativo	True	False
564	docente	True	False
1346	docente	True	False
1750	tecnico_administrativo	True	False
1723	docente	True	False
1001	docente	True	False
1	tecnico_administrativo	True	False
1480	docente	True	False
167	tecnico_administrativo	True	False
270	docente	True	False
1363	docente	True	False
1961	tecnico_administrativo	True	False
320	docente	True	False
724	docente	True	False
1419	docente	True	False
890	docente	True	False
883	docente	True	False
579	docente	True	False
66	docente	True	False
1345	tecnico_administrativo	True	False
1840	docente	True	False
1604	docente	True	False
2226	docente	True	False
2206	docente	True	False
131	tecnico_administrativo	True	False
762	tecnico_administrativo	True	False
1115	docente	True	False
728	tecnico_administrativo	True	False
527	docente	True	False
763	tecnico_administrativo	True	False
718	tecnico_administrativo	True	True
184	tecnico_administrativo	True	False
414	docente	True	False
453	docente	True	False
297	tecnico_administrativo	True	False
2151	docente	True	False
1373	docente	True	False
894	docente	True	False
454	docente	True	False
1043	tecnico_administrativo	True	False
41	docente	True	False
1468	docente	True	False
425	docente	True	False
983	docente	True	False
533	docente	True	False
1696	docente	True	False
1733	docente	True	False
490	docente	True	False
1782	tecnico_administrativo	True	False
1636	docente	True	True
1661	docente	True	False
963	tecnico_administrativo	True	False
1263	docente	True	False
99	docente	True	False
1509	docente	True	False
647	docente	True	False
970	docente	True	False
1003	tecnico_administrativo	True	False
45	tecnico_administrativo	True	False
2091	docente	True	False
1719	tecnico_administrativo	True	False
1397	tecnico_administrativo	True	False
1990	tecnico_administrativo	True	False
1590	docente	True	False
1072	tecnico_administrativo	True	False
1779	docente	True	False
1540	tecnico_administrativo	True	False
114	docente	True	False
419	tecnico_administrativo	True	False
5	docente	True	False
1352	tecnico_administrativo	True	False
827	docente	True	False
1587	docente	True	False
1458	tecnico_administrativo	True	False
750	docente	True	False
1039	docente	True	False
1510	tecnico_administrativo	True	False
1431	docente	True	False
847	docente	True	False
1851	docente	True	False
1809	docente	True	False
1513	docente	True	True
558	docente	True	False
2070	tecnico_administrativo	True	True
1021	docente	True	False
1287	docente	True	False
1650	docente	True	False
1415	docente	True	False
1081	docente	True	False
275	tecnico_administrativo	True	False
947	tecnico_administrativo	True	False
884	docente	True	False
738	docente	True	True
1061	docente	True	False
550	docente	True	False
1312	docente	True	False
658	docente	True	False
447	docente	True	False
1311	docente	True	False
1555	docente	True	False
1376	docente	True	False
1457	docente	True	False
1194	docente	True	False
709	docente	True	False
416	docente	True	False
513	tecnico_administrativo	True	False
875	docente	True	False
1210	docente	True	False
381	docente	True	False
841	docente	True	False
1116	docente	True	False
1406	docente	True	True
497	docente	True	False
248	tecnico_administrativo	True	False
296	docente	True	False
1484	docente	True	True
468	docente	True	False
1031	docente	True	False
489	tecnico_administrativo	True	False
2147	docente	True	False
1249	docente	True	False
126	tecnico_administrativo	True	False
1767	tecnico_administrativo	True	False
560	docente	True	False
12	docente	True	True
385	tecnico_administrativo	True	False
833	docente	True	False
2093	docente	True	False
1512	docente	True	False
523	docente	True	False
1336	tecnico_administrativo	True	False
1716	tecnico_administrativo	True	False
1098	tecnico_administrativo	True	False
501	docente	True	False
648	docente	True	False
2047	docente	True	False
1781	docente	True	False
1242	docente	True	False
1683	docente	True	False
110	docente	True	False
1610	docente	True	False
1267	tecnico_administrativo	True	False
298	docente	True	False
49	docente	True	False
778	tecnico_administrativo	True	False
871	docente	True	False
1113	docente	True	False
1490	docente	True	False
203	docente	True	False
460	docente	True	False
1226	docente	True	False
532	tecnico_administrativo	True	False
1583	docente	True	False
881	docente	True	False
2190	tecnico_administrativo	True	False
1563	docente	True	False
2068	docente	True	False
2168	docente	True	False
101	docente	True	False
1232	docente	True	False
1752	docente	True	True
431	docente	True	False
1554	docente	True	False
1534	docente	True	False
2110	docente	True	False
361	tecnico_administrativo	True	False
1207	docente	True	False
1945	tecnico_administrativo	True	False
